Game Name,Description,Region,Unique to Region,Why Unique,Hyper-Localized Success,Success Metrics,
Driving Zone: Germany Pro,Driving simulation game with realistic physics and German cars,MENA,No,Localized tracks and car models,High engagement and multiplayer features,High engagement and multiplayer features,
Driving Zone: Offroad,Off-road driving simulation game with realistic physics,MENA,No,Includes regional off-road terrains and vehicles,High engagement and multiplayer features,High engagement and multiplayer features,
Dungeon Princess 3,Dungeon-crawling RPG with combat and exploration,MENA,No,Features regional mythology and folklore,High engagement and multiplayer features,High engagement and multiplayer features,
EA SPORTS FC Mobile Soccer,Mobile soccer game with realistic gameplay and team management,MENA,No,Includes regional teams and players,High engagement and multiplayer features,High engagement and multiplayer features,
Earn to Die,Driving game where players navigate through zombie-infested landscapes,MENA,No,Features regional settings and challenges,High engagement and multiplayer features,High engagement and multiplayer features,
eFootball 2024,Soccer simulation game with realistic gameplay and online multiplayer,MENA,No,Includes regional teams and tournaments,High engagement and multiplayer features,High engagement and multiplayer features,
Empires & Puzzles: Match-3 RPG,Match-3 puzzle game combined with RPG elements,MENA,No,Features regional heroes and storylines,High engagement and multiplayer features,High engagement and multiplayer features,
ePSXe for Android,PlayStation emulator for playing PS1 games,MENA,No,Localized for regional language support,High engagement and multiplayer features,High engagement and multiplayer features,
Evertale,RPG game with monster catching and story-driven gameplay,MENA,No,Includes regional myths and creatures,High engagement and multiplayer features,High engagement and multiplayer features,
Evony: The King's Return,Strategy game with city building  resource management and warfare,MENA,No,Incorporates regional historical elements,High engagement and multiplayer features,High engagement and multiplayer features,
Farming Simulator 23 Mobile,Farming simulation game with realistic farming activities,MENA,No,Includes regional crops and farming techniques,High engagement and multiplayer features,High engagement and multiplayer features,
Fishdom,Match-3 puzzle game with aquarium decoration,MENA,No,Features regional aquatic life and themes,High engagement and multiplayer features,High engagement and multiplayer features,
Five Nights at Freddy's,Survival horror game with animatronic characters,MENA,No,Localized settings and cultural references,High engagement and multiplayer features,High engagement and multiplayer features,
Five Nights at Freddy's 2,Survival horror game with animatronic characters,MENA,No,Localized settings and cultural references,High engagement and multiplayer features,High engagement and multiplayer features,
Five Nights at Freddy's 4,Survival horror game with animatronic characters,MENA,No,Localized settings and cultural references,High engagement and multiplayer features,High engagement and multiplayer features,
Football Referee Simulator,Simulation game where players take on the role of a football referee,MENA,No,Includes regional leagues and teams,High engagement and multiplayer features,High engagement and multiplayer features,
Free Fire,Battle royale game with fast-paced matches and survival elements,MENA,No,Features regional events and themes,High engagement and multiplayer features,High engagement and multiplayer features,
Free Fire MAX,Enhanced version of Free Fire with improved graphics and gameplay,MENA,No,Features regional events and themes,High engagement and multiplayer features,High engagement and multiplayer features,
Frost & Flame: King of Avalon,Strategy game with medieval fantasy elements,MENA,No,Incorporates regional folklore and legends,High engagement and multiplayer features,High engagement and multiplayer features,
Gardenscapes,Match-3 puzzle game with garden renovation and decoration elements,MENA,No,Features regional plants and garden designs,High engagement and multiplayer features,High engagement and multiplayer features,
Genshin Impact,Open-world action RPG with exploration and elemental combat,MENA,No,Includes regional landmarks and mythology,High engagement and multiplayer features,High engagement and multiplayer features,
Geometry Dash,Rhythm-based platformer with challenging levels,MENA,No,Features culturally inspired levels,High engagement through exploration and culturally inspired events,High number of quests completed and positive user reviews,
Player Mini Games,Collection of mini-games designed for multiplayer play,MENA,No,Offers a variety of games that cater to diverse interests,High player interaction and frequent community events,Increasing daily active users and high session times,
8 Ball Pool,Simulation of 8-ball pool with online multiplayer features,MENA,No,Popular global game with localized content for the MENA region,High engagement due to competitive tournaments and local leaderboards,High number of matches played and strong user retention,
A Dance of Fire and Ice,Rhythm game with challenging levels and precise controls,MENA,No,Engages players with culturally relevant music tracks,High participation in music events and challenges,Consistent high scores and repeat plays,
Age of Origins,Strategy game with city building and zombie battles,MENA,No,Features local historical and cultural elements in gameplay,High engagement through localized in-game events and storylines,Significant in-game purchases and high retention rates,
Agent Hunt - Hitman Shooter,Shooter game where players take on missions as a hitman featuring stealth and action mechanics,MENA,No,Incorporates local settings and characters in missions,High participation in stealth challenges and mission completions,High level of mission success rates and positive player feedback,
Animal Hunter: Wild Shooting,Hunting simulation game with various animals and environments,MENA,No,Includes local wildlife and hunting scenarios,High engagement during hunting seasons and events,Increased in-app purchases for hunting gear and high player retention,
Block Blast!,Block puzzle game with colorful graphics and addictive gameplay,MENA,No,Features culturally inspired visual themes,High engagement through visually themed events,High levels of completed puzzles and strong word-of-mouth promotion,
Bloons TD 6,Tower defense game with various levels and monkey towers,MENA,No,Includes levels and challenges inspired by regional landmarks,High engagement due to strategic depth and regional themes,High completion rates of levels and active community participation,
Braindom: Brain Games Test,Collection of brain games and puzzles to test cognitive skills,MENA,No,Adapted with culturally relevant questions and puzzles,High engagement through brain training events and challenges,Strong cognitive skill improvement reports and positive reviews,
Brawl Stars,Multiplayer online battle game with various characters and modes,MENA,No,Incorporates regional heroes and themes,High engagement through competitive play and regional tournaments,High win rates and positive user engagement,
Bricks Breaker Quest,Brick-breaking puzzle game with various levels and power-ups,MENA,No,Localized themes and culturally inspired designs,High engagement through themed challenges and events,High completion rates of challenging levels and positive feedback,
Bubble Shooter,Classic bubble-shooting puzzle game with various levels,MENA,No,Includes culturally themed backgrounds and levels,High engagement through colorful and themed events,High level completion rates and strong user retention,
Build A Queen,Puzzle game involving building and upgrading structures,MENA,No,Features regional architectural styles and themes,High engagement through building challenges and events,High user satisfaction with themed content and frequent play,
Call of Dragons,Strategy game with dragon battles and kingdom building,MENA,No,Incorporates regional mythology and folklore,High engagement through mythological events and storylines,High level of strategic play and positive user feedback,
Call of Duty: Mobile Season 5,Mobile version of the popular first-person shooter game with various modes,MENA,No,Localized content and events for regional players,High engagement through local tournaments and special events,High active user base and positive competitive play feedback,
Candy Crush Saga,Popular match-3 puzzle game with various levels and challenges,MENA,No,Localized levels with culturally relevant themes,High engagement through themed levels and events,High level of in-game purchases and frequent play,
Car Race 3D: Car Racing,3D car racing game with various cars and tracks,MENA,No,Includes regional car models and tracks,High engagement through racing tournaments and local events,High frequency of races and strong user retention,
Carrom Pool: Disc Game,Digital version of the traditional carrom board game,MENA,No,Features local carrom board designs and rules,High engagement through competitive play and local tournaments,High level of matches played and positive user feedback,
Clash of Clans,Strategy game with base building resource management  and clan wars,MENA,No,Localized content and events for regional players,High engagement through clan wars and local events,High retention rates and strong community involvement,
Clash Royale,Real-time strategy game with card collection and battles,MENA,No,Includes regional heroes and cards,High engagement through competitive play and regional tournaments,High win rates and strong community support,
Dead Cells,Roguelike action platformer with procedural generation,MENA,No,Incorporates regional myths and legends in storylines,High engagement through mythological events and challenges,High level of completed levels and positive user feedback,
Dice Dreams,Board game with dice rolling and adventure elements,MENA,No,Features regional themes and cultural elements,High engagement through themed dice events and challenges,High level of dice rolls and positive community interaction,
Don't Starve: Pocket Edition,Survival game with crafting  exploration and resource management,MENA,No,Includes local flora and fauna in survival scenarios,High engagement through survival challenges and events,High level of resource collection and positive user reviews,
Doomsday: Last Survivors,Survival strategy game set in a post-apocalyptic world,MENA,No,Incorporates regional settings and survival challenges,High engagement through survival events and challenges,High level of in-game purchases and strong user retention,
Driving Zone: Germany Pro,Driving simulation game with realistic physics and German cars,MENA,No,Localized tracks and car models,High engagement through racing events and realistic driving challenges,High frequency of races and positive user feedback,
Driving Zone: Offroad,Off-road driving simulation game with realistic physics,MENA,No,Includes regional off-road terrains and vehicles,High engagement through off-road challenges and events,High level of completed tracks and positive user engagement,
Dungeon Princess 3,Dungeon-crawling RPG with combat and exploration,MENA,No,Features regional mythology and folklore,High engagement through mythological quests and challenges,High level of completed dungeons and positive user feedback,
EA SPORTS FC Mobile Soccer,Mobile soccer game with realistic gameplay and team management,MENA,No,Includes regional teams and players,High engagement through regional tournaments and special events,High number of matches played and positive user feedback,
Earn to Die,Driving game where players navigate through zombie-infested landscapes,MENA,No,Features regional settings and challenges,High engagement through survival events and driving challenges,High level of completed levels and strong user retention,
eFootball 2024,Soccer simulation game with realistic gameplay and online multiplayer,MENA,No,Includes regional teams and tournaments,High engagement through regional leagues and special events,High number of matches played and strong user retention,
Empires & Puzzles: Match-3 RPG,Match-3 puzzle game combined with RPG elements,MENA,No,Features regional heroes and storylines,High engagement through themed events and strategic play,High completion rates and positive user feedback,
ePSXe for Android,PlayStation emulator for playing PS1 games,MENA,No,Localized for regional language support,High engagement through nostalgic gameplay and local language support,High number of downloads and positive user reviews,
Evertale,RPG game with monster catching and story-driven gameplay,MENA,No,Includes regional myths and creatures,High engagement through monster catching events and story quests,High level of monster collection and positive user feedback,
Evony: The King's Return,Strategy game with city building  resource management  and warfare,MENA,No,Incorporates regional historical elements,High engagement through strategic events and regional challenges,High level of resource management and strong user retention,
Farming Simulator 23 Mobile,Farming simulation game with realistic farming activities,MENA,No,Includes regional crops and farming techniques,High engagement through farming events and regional challenges,High level of farm management and positive user feedback,
Fishdom,Match-3 puzzle game with aquarium decoration,MENA,No,Features regional aquatic life and themes,High engagement through themed aquarium events,High level of completed levels and strong user retention,
Five Nights at Freddy's,Survival horror game with animatronic characters,MENA,No,Localized settings and cultural references,High engagement through horror events and cultural themes,High level of completed levels and positive user feedback,
Five Nights at Freddy's 2,Survival horror game with animatronic characters,MENA,No,Localized settings and cultural references,High engagement through horror events and cultural themes,High level of completed levels and positive user feedback,
Five Nights at Freddy's 4,Survival horror game with animatronic characters,MENA,No,Localized settings and cultural references,High engagement through horror events and cultural themes,High level of completed levels and positive user feedback,
Football Referee Simulator,Simulation game where players take on the role of a football referee,MENA,No,Includes regional leagues and teams,High engagement through refereeing events and challenges,High level of matches refereed and positive user feedback,
Free Fire,Battle royale game with fast-paced matches and survival elements,MENA,No,Features regional events and themes,High engagement through survival events and regional challenges,High number of matches played and strong user retention,
Free Fire MAX,Enhanced version of Free Fire with improved graphics and gameplay,MENA,No,Features regional events and themes,High engagement through survival events and regional challenges,High number of matches played and strong user retention,
Frost & Flame: King of Avalon,Strategy game with medieval fantasy elements,MENA,No,Incorporates regional folklore and legends,High engagement through themed events and strategic play,High level of strategic gameplay and positive user feedback,
Five Nights at Freddy's,Survival horror game with animatronic characters,MENA,No,Localized settings and cultural references,High engagement through horror events and cultural themes,High level of completed levels and positive user feedback,
Five Nights at Freddy's 2,Survival horror game with animatronic characters,MENA,No,Localized settings and cultural references,High engagement through horror events and cultural themes,High level of completed levels and positive user feedback,
Five Nights at Freddy's 4,Survival horror game with animatronic characters,MENA,No,Localized settings and cultural references,High engagement through horror events and cultural themes,High level of completed levels and positive user feedback,
Football Referee Simulator,Simulation game where players take on the role of a football referee,MENA,No,Includes regional leagues and teams,High engagement through refereeing events and challenges,High level of matches refereed and positive user feedback,
Free Fire,Battle royale game with fast-paced matches and survival elements,MENA,No,Features regional events and themes,High engagement through survival events and regional challenges,High number of matches played and strong user retention,
Free Fire MAX,Enhanced version of Free Fire with improved graphics and gameplay,MENA,No,Features regional events and themes,High engagement through survival events and regional challenges,High number of matches played and strong user retention,
Frost & Flame: King of Avalon,Strategy game with medieval fantasy elements,MENA,No,Incorporates regional folklore and legends,High engagement through themed events and strategic play,High level of strategic gameplay and positive user feedback,
Gardenscapes,Match-3 puzzle game with garden renovation and decoration elements,MENA,No,Features regional plants and garden designs,High engagement through garden-themed events,High completion rates and strong user retention,
Genshin Impact,Open-world action RPG with exploration and elemental combat,MENA,No,Includes regional landmarks and mythology,High engagement through exploration and culturally inspired events,High number of quests completed and positive user reviews,
Geometry Dash,Rhythm-based platformer with challenging levels,MENA,No,Features culturally inspired levels,High engagement through rhythm challenges and events,High level completion rates and strong community feedback,
Goat Simulator 3,Simulation game where players control a goat in an open world,MENA,No,Includes regional settings and humor,High engagement through sandbox events and challenges,High level of in-game exploration and positive user reviews,
Going Balls,Obstacle course game with rolling balls and challenging levels,MENA,No,Features region-specific obstacle courses,High engagement through challenging events and courses,High completion rates and positive user feedback,
Grand Theft Auto: San Andreas,Open-world action-adventure game with missions and free-roaming,MENA,No,Localized settings and missions,High engagement through free-roaming and mission completions,High level of active players and positive reviews,
GRID Autosport,Realistic racing game with various cars and tracks,MENA,No,Includes regional tracks and car models,High engagement through racing tournaments and events,High number of races completed and positive user feedback,
Heroes of Crown: Legends,RPG game with hero collection and battles,MENA,No,Includes regional heroes and storylines,High engagement through hero collection events and battles,High level of hero upgrades and positive user feedback,
Hill Climb Racing,Physics-based racing game with various vehicles and hilly terrains,MENA,No,Features region-specific terrains,High engagement through racing events and hill challenges,High number of completed tracks and strong user retention,
Hitman Sniper,Sniper shooting game with various missions and targets,MENA,No,Localized missions and characters,High engagement through sniper challenges and mission completions,High mission success rates and positive player feedback,
Homescapes,Match-3 puzzle game with home renovation and decoration,MENA,No,Includes regional home designs and themes,High engagement through renovation events and challenges,High level completion rates and positive user reviews,
Honkai: Star Rail,RPG game with sci-fi elements and turn-based combat,MENA,No,Features regional sci-fi themes and characters,High engagement through turn-based battles and events,High completion rates and positive user feedback,
Honor of Kings,Multiplayer online battle arena (MOBA) game with various heroes and abilities,MENA,No,Includes regional heroes and abilities,High engagement through competitive play and regional tournaments,High win rates and positive user feedback,
Human Fall Flat,Physics-based puzzle platformer with multiplayer,MENA,No,Localized settings and puzzle themes,High engagement through puzzle challenges and multiplayer events,High completion rates and positive user feedback,
Incredibox,Music creation game where players create beats and songs,MENA,No,Features culturally relevant music styles,High engagement through music creation events and challenges,High level of user-generated content and positive feedback,
Jawaker Hand, Trix & Solitaire Digital versions of popular card games with online multiplayer,MENA,Yes,Includes traditional regional card games,High engagement through multiplayer card games and local tournaments,High number of matches played and positive user reviews,
Kick the Buddy: Fun Action Game,Stress-relief game where players interact with a ragdoll character,MENA,No,Localized settings and cultural references,High engagement through stress-relief events and challenges,High level of in-game interactions and positive user feedback,
Kingdom Guard: Tower Defense TD,Tower defense game with strategic elements,MENA,No,Includes regional themes and cultural references,High engagement through strategic defense challenges,High completion rates and positive user feedback,
Kingdom Rush Frontiers TD,Tower defense game with various levels and towers,MENA,No,Features culturally relevant themes and designs,High engagement through defense events and challenges,High level completion rates and strong user retention,
Kiss of War,Strategy game set in a wartime scenario with base building and combat,MENA,No,Includes regional wartime scenarios and historical references,High engagement through strategic events and challenges,High level of in-game strategy and positive user feedback,
Last Shelter: Survival,Survival strategy game set in a post-apocalyptic world,MENA,No,Features regional post-apocalyptic settings,High engagement through survival events and challenges,High retention rates and positive user feedback,
Last War: Survival Game,Survival strategy game with base building and combat,MENA,No,Includes regional elements and themes,High engagement through strategic survival challenges,High level of completed bases and positive user feedback,
LIMBO,Puzzle-platformer with dark eerie atmosphere,MENA,No,Localized settings and cultural references,High engagement through puzzle challenges and storylines,High level completion rates and positive user feedback,
Lords Mobile: Kingdom Wars,Strategy game with city building resource management and warfare,MENA,No,Includes regional historical elements and themes,High engagement through strategic events and kingdom challenges,High level of resource management and strong user retention,
Lucky Dream,Lottery and casino game mechanics focusing on luck-based gameplay,MENA,No,Localized lottery and casino themes,High engagement through casino events and challenges,High level of in-game purchases and positive user feedback,
Ludo King,Digital version of the classic board game Ludo featuring online multiplayer,MENA,No,Includes localized board designs and rules,High engagement through multiplayer games and local tournaments,High number of matches played and positive user feedback,
Ludo STAR: Online Dice Game,Digital version of the classic board game Ludo with online multiplayer,MENA,No,Localized settings and board designs,High engagement through multiplayer games and local events,High number of matches played and strong user retention,
Magic Research 2,Research and management game with magical elements,MENA,No,Features regional magical themes and characters,High engagement through research events and magical challenges,High level of completed research and positive user feedback,
Magic Tiles 3,Music rhythm game where players tap tiles to play songs,MENA,No,Includes culturally relevant music tracks,High engagement through rhythm challenges and music events,High completion rates and positive user feedback,
Manage Supermarket Simulator,Simulation of managing a supermarket including inventory  customer service and financial management,MENA,No,Localized settings and cultural references,High engagement through management challenges and events,High level of completed tasks and positive user feedback,
Marble Match Origin,Match-3 puzzle game with marble-themed levels,MENA,No,Features culturally inspired marble designs,High engagement through themed puzzle events,High completion rates and strong user retention,
Match Masters - PvP Match 3,PvP match-3 puzzle game with competitive elements,MENA,No,Includes regional themes and cultural references,High engagement through competitive play and tournaments,High win rates and positive user feedback,
Minecraft,Sandbox game with building  mining  and exploration,MENA,No,Localized settings and regional landmarks,High engagement through building events and exploration challenges,High level of active players and positive community feedback,
Mini Metro,Puzzle strategy game about designing subway systems,MENA,No,Features region-specific subway systems,High engagement through design challenges and events,High level of completed designs and positive user feedback,
Mob Control,Strategy game involving mob battles and base building,MENA,No,Includes regional elements and cultural references,High engagement through strategic battles and challenges,High completion rates and strong user retention,
Mobile Legends: Bang Bang,Multiplayer online battle arena (MOBA) game with various heroes and abilities,MENA,No,Features regional heroes and themes,High engagement through competitive play and regional tournaments,High win rates and positive user feedback,
MONOPOLY,Digital version of the classic board game Monopoly,MENA,No,Includes localized board designs and rules,High engagement through multiplayer games and local tournaments,High number of matches played and positive user feedback,
MONOPOLY GO!,Digital version of the classic board game Monopoly with online multiplayer,MENA,No,Localized settings and board designs,High engagement through multiplayer games and local events,High number of matches played and positive user feedback,
Monument Valley,Puzzle game with optical illusions and beautiful design,MENA,No,Features culturally inspired designs and levels,High engagement through visually themed puzzles,High completion rates and positive user reviews,
Moto Rider Bike Racing Game,Bike racing game with various tracks and challenges,MENA,No,Includes regional bike models and tracks,High engagement through racing events and challenges,High number of races completed and strong user retention,
My Boy! - GBA Emulator,Game Boy Advance emulator for playing GBA games,MENA,No,Localized for regional language support,High engagement through nostalgic gameplay and local language support,High number of downloads and positive user reviews,
My Child Lebensborn,Narrative-driven simulation game about raising a child in post-war society,MENA,No,Includes regional historical references and settings,High engagement through narrative events and challenges,High level of story completions and positive user feedback,
My Talking Angela 2,Virtual pet simulation game with various activities and mini-games,MENA,No,Localized settings and culturally relevant activities,High engagement through pet care events and challenges,High level of in-game interactions and positive user reviews,
Offroad Runner,Off-road racing game with various terrains and vehicles,MENA,No,Includes regional off-road terrains and vehicle models,High engagement through off-road racing events and challenges,High number of races completed and strong user retention,
Papa's Freezeria To Go!,Time management game where players run an ice cream shop,MENA,No,Localized settings and culturally inspired ice cream flavors,High engagement through time management challenges and events,High level of orders completed and positive user feedback,
Papa's Paleteria To Go!,Time management game where players run a paleteria shop,MENA,No,Includes regional paleta flavors and designs,High engagement through themed events and challenges,High number of paletas served and positive user feedback,
Papers, Please Puzzle simulation game where players take on the role of an immigration officer,MENA,No,Localized settings and cultural references,High engagement through simulation challenges and events,High level of completed tasks and positive user reviews,
Phone Case DIY,Simulation game where players design and customize phone cases,MENA,No,Includes culturally inspired phone case designs,High engagement through customization events and challenges,High number of cases designed and positive user feedback,
Pizza Ready!,Time management game where players make and serve pizzas to customers,MENA,No,Localized settings and culturally inspired pizza toppings,High engagement through time management challenges and events,High level of orders completed and positive user feedback,
Poppy Playtime Chapter 1,Horror puzzle game set in an abandoned toy factory,MENA,No,Localized settings and cultural references,High engagement through horror puzzle challenges and events,High level of completed puzzles and positive user feedback,
Poppy Playtime Chapter 2,Horror puzzle game set in an abandoned toy factory,MENA,No,Localized settings and cultural references,High engagement through horror puzzle challenges and events,High level of completed puzzles and positive user feedback,
PPSSPP Gold - PSP emulator,PlayStation Portable emulator for playing PSP games,MENA,No,Localized for regional language support,High engagement through nostalgic gameplay and local language support,High number of downloads and positive user reviews,
PUBG MOBILE,Battle royale game with realistic graphics and large-scale battles,MENA,No,Includes regional settings and events,High engagement through survival events and regional tournaments,High number of matches played and strong user retention,
Pure Sniper: Gun Shooter Games,Sniper shooting game with various missions and realistic graphics,MENA,No,Localized missions and settings,High engagement through sniper challenges and events,High mission success rates and positive user feedback,
Race Master 3D - Car Racing,3D car racing game with various tracks and obstacles,MENA,No,Includes regional tracks and car models,High engagement through racing events and challenges,High number of races completed and strong user retention,
Reporter - Scary Horror Game,First-person horror game with investigation elements,MENA,No,Localized settings and cultural references,High engagement through horror investigation events,High level of completed investigations and positive user feedback,
RFS - Real Flight Simulator,Flight simulation game with realistic controls and scenarios,MENA,No,Includes regional flight routes and airports,High engagement through flight simulation challenges,High number of flights completed and positive user feedback,
Rise of Castles: Ice and Fire,Strategy game with city building and warfare,MENA,No,Includes regional historical elements and settings,High engagement through strategic events and battles,High level of city development and strong user retention,
Rise of Kingdoms: Lost Crusade,Strategy game with city building resource management  and warfare,MENA,No,Incorporates regional historical elements and characters,High engagement through strategic events and kingdom challenges,High level of resource management and positive user feedback,
Roblox,Online platform where users can create and play games created by other users,MENA,No,Localized settings and cultural references,High engagement through user-generated content and events,High number of games created and positive user feedback,
Royal Match,Match-3 puzzle game with royal-themed decorations and rewards,MENA,No,Includes culturally inspired royal themes,High engagement through themed events and challenges,High completion rates and strong user retention,
Shadow Knight: Ninja Fighting,Action RPG with ninja combat and exploration,MENA,No,Localized settings and cultural references,High engagement through combat events and ninja challenges,High level of completed missions and positive user feedback,
Shape Transforming: Shape Race,Racing game where players transform shapes to navigate obstacles,MENA,No,Includes region-specific shapes and obstacles,High engagement through racing challenges and events,High number of races completed and positive user feedback,
Slay the Spire,Deck-building roguelike game with strategic combat,MENA,No,Includes regional elements and cultural references,High engagement through deck-building challenges and strategic events,High level of completed runs and positive user feedback,
Snake Clash!,Snake game with multiplayer features and power-ups,MENA,No,Includes culturally inspired designs and themes,High engagement through multiplayer events and challenges,High number of matches played and positive user feedback,
Snake.io - Fun Snake .io Games,Multiplayer snake game with various skins and power-ups,MENA,No,Localized settings and cultural references,High engagement through multiplayer events and challenges,High number of matches played and positive user feedback,
Solo Leveling: Arise,RPG game based on the popular Solo Leveling webtoon with action and adventure elements,MENA,No,Includes regional settings and characters,High engagement through story events and challenges,High level of character development and positive user feedback,
Squad Busters,Action game with squad-based battles and strategic elements,MENA,No,Localized settings and cultural references,High engagement through squad-based events and battles,High level of completed missions and positive user feedback,
Stardew Valley,Farming simulation game with RPG elements,MENA,No,Localized crops and farming techniques,High engagement through farming events and seasonal challenges,High level of farm development and positive user feedback,
State of Survival: Zombie War,Survival strategy game set in a zombie apocalypse,MENA,No,Includes regional settings and cultural references,High engagement through survival events and challenges,High retention rates and positive user feedback,
Stormshot: Isle of Adventure,Adventure game with exploration and puzzle-solving,MENA,No,Localized settings and cultural references,High engagement through exploration events and puzzle challenges,High level of completed quests and positive user feedback,
Subway Princess Runner,Endless runner game with obstacle avoidance and power-ups,MENA,No,Localized settings and culturally inspired themes,High engagement through running events and challenges,High number of runs completed and positive user feedback,
Subway Surfers,Endless runner game with obstacle avoidance and power-ups,MENA,No,Localized settings and culturally inspired themes,High engagement through running events and challenges,High number of runs completed and positive user feedback,
Suika Game,Puzzle game with fruit and vegetable themes,MENA,No,Includes culturally inspired fruit and vegetable designs,High engagement through themed puzzle events,High completion rates and strong user retention,
Super Meat Boy Forever,Challenging platformer with fast-paced levels,MENA,No,Localized settings and cultural references,High engagement through platforming events and challenges,High level of completed levels and positive user feedback,
The Room,Puzzle game with intricate  building  mysterious environments,MENA,No,Localized settings and culturally inspired puzzles,High engagement through puzzle events and challenges,High completion rates and positive user feedback,
The Sun Origin Post Apocalypse,Post-apocalyptic survival RPG with combat and exploration,MENA,No,Includes regional post-apocalyptic settings,High engagement through survival events and exploration challenges,High level of completed quests and positive user feedback,
Toon Blast,Match-3 puzzle game with cartoon-themed levels,MENA,No,Features culturally inspired cartoon themes,High engagement through themed puzzle events,High completion rates and strong user retention,
Top War: Battle Game,Strategy game with base building and real-time battles,MENA,No,Includes regional themes and cultural references,High engagement through strategic events and battles,High level of base development and positive user feedback,
